id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
10051,Vegas: Make It Big™,21-12-2006,Deepred,Strategy First,Strategy,Single-player,259,81%,1,0,0
10052,Blood Island,23-01-2019,stariy8419,stariy8419,Action;Adventure;Casual,Single-player,125,91%,1,0,0
10053,Choice of the Petal Throne,10-04-2015,Choice of Games,Choice of Games,Indie;RPG,Single-player;Steam Achievements;Captions available;Steam Cloud,165,80%,1,1,1
10054,Attack of the Bugs,29-11-2017,Empty Clip Studios,Empty Clip Studios,Action,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,299,100%,1,0,0
10055,Masked Forces,23-11-2016,FreezeNova,FreezeNova,Action;Indie,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards,58,73%,1,0,0
10056,MEMETYPER,27-09-2017,Yury Chadaev,Lab-mobil,Casual;Indie;Simulation,Single-player;Steam Achievements;Steam Leaderboards,42,73%,1,0,0
10057,Evie,15-02-2018,Chilla's Art,Chilla's Art,Adventure;Casual;Indie,Single-player;Partial Controller Support,125,91%,1,0,0
10058,Mystery Castle: The Mirror's Secret,18-12-2015,Meridian'93,1C Entertainment,Adventure;Casual,Single-player,319,76%,1,0,0
10059,Lazors,25-09-2016,Pyrosphere,Pyrosphere,Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards,199,80%,1,1,1
10060,Outbreak: The New Nightmare,05-01-2018,Dead Drop Studios LLC,Dead Drop Studios LLC,Violent;Gore;Action;Adventure;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Stats,419,89%,1,0,1
10061,Darkness and Flame: The Dark Side f2p,26-12-2018,FIVE-BN GAMES,FIVE-BN GAMES,Adventure;Casual,Single-player;Steam Achievements;In-App Purchases;Steam Cloud,Free to play,84%,1,1,0
10062,BAFL - Brakes Are For Losers,18-10-2017,Oudidon,Dear Villagers,Racing,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,349,68%,1,0,0
